GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [lush-bear] ===
Device: cuda
Batch size: 4
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220126_small_lush-bear/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220126_base_lush-bear/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220127_large_lush-bear/metrics.jsonl

  large: loss 7.0862 | acc 0.006 | lr 2.76e-04 | gn 0.67
step     240 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0620 | acc 0.007 | lr 2.74e-04 | gn 0.55
   base: loss 7.0475 | acc 0.004 | lr 2.74e-04 | gn 0.75
  large: loss 7.0066 | acc 0.006 | lr 2.74e-04 | gn 0.85
step     245 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0955 | acc 0.005 | lr 2.73e-04 | gn 0.48
   base: loss 7.0936 | acc 0.003 | lr 2.73e-04 | gn 0.65
  large: loss 7.0606 | acc 0.005 | lr 2.73e-04 | gn 0.71
step     250 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0870 | acc 0.004 | lr 2.72e-04 | gn 0.48
   base: loss 7.0857 | acc 0.007 | lr 2.72e-04 | gn 0.67
  large: loss 7.0370 | acc 0.006 | lr 2.72e-04 | gn 0.74
step     255 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1110 | acc 0.005 | lr 2.70e-04 | gn 0.48
   base: loss 7.1119 | acc 0.005 | lr 2.70e-04 | gn 0.69
  large: loss 7.0674 | acc 0.007 | lr 2.70e-04 | gn 0.77
step     260 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1065 | acc 0.006 | lr 2.69e-04 | gn 0.43
   base: loss 7.1116 | acc 0.008 | lr 2.69e-04 | gn 0.60
  large: loss 7.0757 | acc 0.007 | lr 2.69e-04 | gn 0.67
step     265 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9448 | acc 0.005 | lr 2.67e-04 | gn 0.42
   base: loss 6.9373 | acc 0.004 | lr 2.67e-04 | gn 0.58
  large: loss 6.8984 | acc 0.006 | lr 2.67e-04 | gn 0.65
step     270 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0553 | acc 0.004 | lr 2.66e-04 | gn 0.44
   base: loss 7.0455 | acc 0.005 | lr 2.66e-04 | gn 0.61
  large: loss 7.0066 | acc 0.007 | lr 2.66e-04 | gn 0.67
step     275 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1137 | acc 0.004 | lr 2.64e-04 | gn 0.48
   base: loss 7.1041 | acc 0.003 | lr 2.64e-04 | gn 0.65
  large: loss 7.0562 | acc 0.005 | lr 2.64e-04 | gn 0.74
step     280 | 42 g/s | 0.09s | active: small, base, large
  small: loss 7.1050 | acc 0.005 | lr 2.63e-04 | gn 0.50
   base: loss 7.0813 | acc 0.006 | lr 2.63e-04 | gn 0.67
  large: loss 7.0489 | acc 0.007 | lr 2.63e-04 | gn 0.76
step     285 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0856 | acc 0.003 | lr 2.61e-04 | gn 0.48
   base: loss 7.0758 | acc 0.004 | lr 2.61e-04 | gn 0.65
  large: loss 7.0259 | acc 0.004 | lr 2.61e-04 | gn 0.72
step     290 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9928 | acc 0.006 | lr 2.60e-04 | gn 0.44
   base: loss 6.9865 | acc 0.006 | lr 2.60e-04 | gn 0.62
  large: loss 6.9439 | acc 0.006 | lr 2.60e-04 | gn 0.68
step     295 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1086 | acc 0.004 | lr 2.58e-04 | gn 0.45
   base: loss 7.0968 | acc 0.004 | lr 2.58e-04 | gn 0.63
  large: loss 7.0690 | acc 0.004 | lr 2.58e-04 | gn 0.69
step     300 | 41 g/s | 0.10s | active: small, base, large
  small: loss 7.0867 | acc 0.002 | lr 2.56e-04 | gn 0.44
   base: loss 7.0683 | acc 0.002 | lr 2.56e-04 | gn 0.64
  large: loss 7.0308 | acc 0.005 | lr 2.56e-04 | gn 0.69
step     305 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1048 | acc 0.004 | lr 2.55e-04 | gn 0.45
   base: loss 7.0786 | acc 0.006 | lr 2.55e-04 | gn 0.64
  large: loss 7.0482 | acc 0.007 | lr 2.55e-04 | gn 0.70
step     310 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0578 | acc 0.005 | lr 2.53e-04 | gn 0.47
   base: loss 7.0232 | acc 0.005 | lr 2.53e-04 | gn 0.67
  large: loss 7.0061 | acc 0.003 | lr 2.53e-04 | gn 0.72
step     315 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0649 | acc 0.004 | lr 2.51e-04 | gn 0.42
   base: loss 7.0403 | acc 0.005 | lr 2.51e-04 | gn 0.59
  large: loss 7.0163 | acc 0.006 | lr 2.51e-04 | gn 0.68
step     320 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1592 | acc 0.004 | lr 2.50e-04 | gn 0.50
   base: loss 7.1056 | acc 0.004 | lr 2.50e-04 | gn 0.69
  large: loss 7.0733 | acc 0.004 | lr 2.50e-04 | gn 0.76
step     325 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0222 | acc 0.006 | lr 2.48e-04 | gn 0.48
   base: loss 6.9802 | acc 0.007 | lr 2.48e-04 | gn 0.66
  large: loss 6.9606 | acc 0.006 | lr 2.48e-04 | gn 0.74
step     330 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9603 | acc 0.005 | lr 2.46e-04 | gn 0.52
   base: loss 6.9201 | acc 0.003 | lr 2.46e-04 | gn 0.72
  large: loss 6.9001 | acc 0.005 | lr 2.46e-04 | gn 0.78
step     335 | 44 g/s | 0.09s | active: small, base, large
  small: loss 6.9804 | acc 0.006 | lr 2.44e-04 | gn 0.44
   base: loss 6.9390 | acc 0.006 | lr 2.44e-04 | gn 0.60
  large: loss 6.9077 | acc 0.006 | lr 2.44e-04 | gn 0.67
step     340 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0292 | acc 0.007 | lr 2.43e-04 | gn 0.50
   base: loss 6.9729 | acc 0.006 | lr 2.43e-04 | gn 0.70
  large: loss 6.9516 | acc 0.006 | lr 2.43e-04 | gn 0.78
step     345 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0137 | acc 0.005 | lr 2.41e-04 | gn 0.44
   base: loss 6.9564 | acc 0.004 | lr 2.41e-04 | gn 0.59
  large: loss 6.9332 | acc 0.004 | lr 2.41e-04 | gn 0.65
step     350 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9988 | acc 0.006 | lr 2.39e-04 | gn 0.45
   base: loss 6.9431 | acc 0.008 | lr 2.39e-04 | gn 0.63
  large: loss 6.9246 | acc 0.007 | lr 2.39e-04 | gn 0.70
step     355 | 44 g/s | 0.09s | active: small, base, large
  small: loss 6.9603 | acc 0.010 | lr 2.37e-04 | gn 0.55
   base: loss 6.8989 | acc 0.005 | lr 2.37e-04 | gn 0.77
  large: loss 6.8738 | acc 0.009 | lr 2.37e-04 | gn 0.86
step     360 | 44 g/s | 0.09s | active: small, base, large
  small: loss 6.9136 | acc 0.005 | lr 2.35e-04 | gn 0.53
   base: loss 6.8385 | acc 0.009 | lr 2.35e-04 | gn 0.80
  large: loss 6.7855 | acc 0.009 | lr 2.35e-04 | gn 0.83
step     365 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9818 | acc 0.005 | lr 2.33e-04 | gn 0.52
   base: loss 6.9250 | acc 0.005 | lr 2.33e-04 | gn 0.62
  large: loss 6.9081 | acc 0.004 | lr 2.33e-04 | gn 0.72
step     370 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.8897 | acc 0.006 | lr 2.31e-04 | gn 0.41
   base: loss 6.8330 | acc 0.006 | lr 2.31e-04 | gn 0.54
  large: loss 6.8110 | acc 0.005 | lr 2.31e-04 | gn 0.68
step     375 | 44 g/s | 0.09s | active: small, base, large
  small: loss 6.9584 | acc 0.004 | lr 2.29e-04 | gn 0.57
   base: loss 6.8858 | acc 0.007 | lr 2.29e-04 | gn 0.87
  large: loss 6.8314 | acc 0.005 | lr 2.29e-04 | gn 0.90
step     380 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1144 | acc 0.010 | lr 2.27e-04 | gn 0.53
   base: loss 7.0433 | acc 0.009 | lr 2.27e-04 | gn 0.74
  large: loss 7.0039 | acc 0.005 | lr 2.27e-04 | gn 0.82
step     385 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9665 | acc 0.005 | lr 2.25e-04 | gn 0.44
   base: loss 6.8441 | acc 0.007 | lr 2.25e-04 | gn 0.61
  large: loss 6.8506 | acc 0.007 | lr 2.25e-04 | gn 0.64
step     390 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1430 | acc 0.004 | lr 2.23e-04 | gn 0.46
   base: loss 7.0567 | acc 0.006 | lr 2.23e-04 | gn 0.67
  large: loss 7.0535 | acc 0.004 | lr 2.23e-04 | gn 0.70
step     395 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0478 | acc 0.003 | lr 2.21e-04 | gn 0.44
   base: loss 6.9348 | acc 0.006 | lr 2.21e-04 | gn 0.63
  large: loss 6.9706 | acc 0.007 | lr 2.21e-04 | gn 0.74
step     400 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0261 | acc 0.010 | lr 2.19e-04 | gn 0.50
   base: loss 6.9007 | acc 0.015 | lr 2.19e-04 | gn 0.73
  large: loss 6.8998 | acc 0.008 | lr 2.19e-04 | gn 0.77
step     405 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0718 | acc 0.005 | lr 2.17e-04 | gn 0.41
   base: loss 6.9736 | acc 0.004 | lr 2.17e-04 | gn 0.74
  large: loss 6.9661 | acc 0.004 | lr 2.17e-04 | gn 0.64
step     410 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1022 | acc 0.006 | lr 2.15e-04 | gn 0.52
   base: loss 6.9418 | acc 0.004 | lr 2.15e-04 | gn 0.68
  large: loss 6.9696 | acc 0.009 | lr 2.15e-04 | gn 0.75
step     415 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0397 | acc 0.006 | lr 2.13e-04 | gn 0.56
   base: loss 6.8877 | acc 0.009 | lr 2.13e-04 | gn 0.72
  large: loss 6.9041 | acc 0.007 | lr 2.13e-04 | gn 0.83
step     420 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0207 | acc 0.010 | lr 2.11e-04 | gn 0.46
   base: loss 6.9093 | acc 0.012 | lr 2.11e-04 | gn 0.77
  large: loss 6.9259 | acc 0.008 | lr 2.11e-04 | gn 0.84
step     425 | 44 g/s | 0.09s | active: small, base, large
  small: loss 6.9833 | acc 0.007 | lr 2.09e-04 | gn 0.44
   base: loss 6.8625 | acc 0.010 | lr 2.09e-04 | gn 0.65
  large: loss 6.8806 | acc 0.007 | lr 2.09e-04 | gn 0.68
step     430 | 44 g/s | 0.09s | active: small, base, large
  small: loss 6.9038 | acc 0.008 | lr 2.07e-04 | gn 0.51
   base: loss 6.7243 | acc 0.010 | lr 2.07e-04 | gn 0.70
  large: loss 6.7649 | acc 0.009 | lr 2.07e-04 | gn 0.77
step     435 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0237 | acc 0.007 | lr 2.05e-04 | gn 0.46
   base: loss 6.8378 | acc 0.007 | lr 2.05e-04 | gn 0.65
  large: loss 6.9044 | acc 0.007 | lr 2.05e-04 | gn 0.71
step     440 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9983 | acc 0.004 | lr 2.02e-04 | gn 0.50
   base: loss 6.8069 | acc 0.007 | lr 2.02e-04 | gn 0.72
  large: loss 6.8629 | acc 0.007 | lr 2.02e-04 | gn 0.76
step     445 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9191 | acc 0.005 | lr 2.00e-04 | gn 0.57
   base: loss 6.7203 | acc 0.008 | lr 2.00e-04 | gn 0.80
  large: loss 6.7438 | acc 0.007 | lr 2.00e-04 | gn 0.91
step     450 | 42 g/s | 0.10s | active: small, base, large
  small: loss 6.9491 | acc 0.006 | lr 1.98e-04 | gn 0.53
   base: loss 6.7665 | acc 0.006 | lr 1.98e-04 | gn 0.72
  large: loss 6.7998 | acc 0.009 | lr 1.98e-04 | gn 0.79
step     455 | 43 g/s | 0.09s | active: small, base, large
