GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [jolly-crane] ===
Device: cuda
Batch size: 16
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221513_small_jolly-crane/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_base_jolly-crane/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_large_jolly-crane/metrics.jsonl

   base: loss 6.8112 | acc 0.007 | lr 2.82e-04 | gn 0.73
  large: loss 6.7337 | acc 0.010 | lr 2.82e-04 | gn 0.65
step     215 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8814 | acc 0.006 | lr 2.80e-04 | gn 0.79
   base: loss 6.7910 | acc 0.007 | lr 2.80e-04 | gn 0.83
  large: loss 6.6528 | acc 0.014 | lr 2.80e-04 | gn 0.79
step     220 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8985 | acc 0.007 | lr 2.79e-04 | gn 0.53
   base: loss 6.7866 | acc 0.009 | lr 2.79e-04 | gn 0.64
  large: loss 6.5843 | acc 0.025 | lr 2.79e-04 | gn 0.67
step     225 | 63 g/s | 0.25s | active: small, base, large
  small: loss 6.8853 | acc 0.007 | lr 2.78e-04 | gn 0.31
   base: loss 6.7539 | acc 0.013 | lr 2.78e-04 | gn 1.47
  large: loss 6.4299 | acc 0.036 | lr 2.78e-04 | gn 1.54
step     230 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8535 | acc 0.009 | lr 2.77e-04 | gn 0.79
   base: loss 6.7957 | acc 0.016 | lr 2.77e-04 | gn 3.39
  large: loss 6.3150 | acc 0.039 | lr 2.77e-04 | gn 1.10
step     235 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8710 | acc 0.008 | lr 2.76e-04 | gn 0.64
   base: loss 6.6051 | acc 0.027 | lr 2.76e-04 | gn 1.19
  large: loss 6.1663 | acc 0.046 | lr 2.76e-04 | gn 0.84
step     240 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.9285 | acc 0.008 | lr 2.74e-04 | gn 0.52
   base: loss 6.5499 | acc 0.037 | lr 2.74e-04 | gn 0.77
  large: loss 6.2962 | acc 0.038 | lr 2.74e-04 | gn 0.75
step     245 | 63 g/s | 0.25s | active: small, base, large
  small: loss 6.8182 | acc 0.008 | lr 2.73e-04 | gn 0.81
   base: loss 6.2205 | acc 0.046 | lr 2.73e-04 | gn 0.68
  large: loss 5.9899 | acc 0.046 | lr 2.73e-04 | gn 0.56
step     250 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8156 | acc 0.009 | lr 2.72e-04 | gn 0.60
   base: loss 6.1917 | acc 0.044 | lr 2.72e-04 | gn 0.54
  large: loss 6.0355 | acc 0.047 | lr 2.72e-04 | gn 0.48
step     255 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8048 | acc 0.010 | lr 2.70e-04 | gn 0.51
   base: loss 6.1150 | acc 0.045 | lr 2.70e-04 | gn 0.54
  large: loss 5.9698 | acc 0.044 | lr 2.70e-04 | gn 0.49
step     260 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.8350 | acc 0.011 | lr 2.69e-04 | gn 0.39
   base: loss 6.2569 | acc 0.038 | lr 2.69e-04 | gn 0.50
  large: loss 6.1465 | acc 0.038 | lr 2.69e-04 | gn 0.49
step     265 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.7652 | acc 0.015 | lr 2.67e-04 | gn 1.11
   base: loss 6.0171 | acc 0.044 | lr 2.67e-04 | gn 0.55
  large: loss 5.9054 | acc 0.043 | lr 2.67e-04 | gn 0.50
step     270 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.7453 | acc 0.029 | lr 2.66e-04 | gn 0.78
   base: loss 6.1369 | acc 0.037 | lr 2.66e-04 | gn 0.58
  large: loss 6.0318 | acc 0.036 | lr 2.66e-04 | gn 0.47
step     275 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.6394 | acc 0.035 | lr 2.64e-04 | gn 1.40
   base: loss 5.9852 | acc 0.042 | lr 2.64e-04 | gn 0.57
