GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [vast-owl] ===
Device: cuda
Batch size: 8
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_small_vast-owl/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_base_vast-owl/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_large_vast-owl/metrics.jsonl

step     175 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0166 | acc 0.004 | lr 2.89e-04 | gn 0.33
   base: loss 6.9793 | acc 0.005 | lr 2.89e-04 | gn 0.47
  large: loss 6.9876 | acc 0.004 | lr 2.89e-04 | gn 0.53
step     180 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0601 | acc 0.003 | lr 2.88e-04 | gn 0.33
   base: loss 7.0052 | acc 0.005 | lr 2.88e-04 | gn 0.46
  large: loss 7.0198 | acc 0.005 | lr 2.88e-04 | gn 0.52
step     185 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0605 | acc 0.005 | lr 2.87e-04 | gn 0.36
   base: loss 7.0068 | acc 0.006 | lr 2.87e-04 | gn 0.49
  large: loss 7.0107 | acc 0.006 | lr 2.87e-04 | gn 0.53
step     190 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9917 | acc 0.005 | lr 2.86e-04 | gn 0.35
   base: loss 6.9258 | acc 0.003 | lr 2.86e-04 | gn 0.48
  large: loss 6.9270 | acc 0.005 | lr 2.86e-04 | gn 0.53
step     195 | 57 g/s | 0.14s | active: small, base, large
  small: loss 6.9382 | acc 0.005 | lr 2.85e-04 | gn 0.41
   base: loss 6.8608 | acc 0.005 | lr 2.85e-04 | gn 0.55
  large: loss 6.8659 | acc 0.006 | lr 2.85e-04 | gn 0.60
step     200 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0609 | acc 0.004 | lr 2.84e-04 | gn 0.34
   base: loss 6.9988 | acc 0.005 | lr 2.84e-04 | gn 0.47
  large: loss 7.0067 | acc 0.006 | lr 2.84e-04 | gn 0.56
step     205 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0990 | acc 0.005 | lr 2.83e-04 | gn 0.35
   base: loss 7.0322 | acc 0.005 | lr 2.83e-04 | gn 0.49
  large: loss 7.0309 | acc 0.005 | lr 2.83e-04 | gn 0.59
step     210 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0364 | acc 0.004 | lr 2.82e-04 | gn 0.37
   base: loss 6.9601 | acc 0.005 | lr 2.82e-04 | gn 0.50
  large: loss 6.9638 | acc 0.005 | lr 2.82e-04 | gn 0.61
step     215 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0217 | acc 0.006 | lr 2.80e-04 | gn 0.32
   base: loss 6.9343 | acc 0.005 | lr 2.80e-04 | gn 0.55
  large: loss 6.8890 | acc 0.008 | lr 2.80e-04 | gn 0.56
step     220 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0151 | acc 0.004 | lr 2.79e-04 | gn 0.32
   base: loss 6.9362 | acc 0.004 | lr 2.79e-04 | gn 0.63
  large: loss 6.8621 | acc 0.005 | lr 2.79e-04 | gn 0.73
step     225 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0367 | acc 0.004 | lr 2.78e-04 | gn 0.33
   base: loss 6.9761 | acc 0.008 | lr 2.78e-04 | gn 0.66
  large: loss 6.8952 | acc 0.008 | lr 2.78e-04 | gn 0.58
step     230 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1058 | acc 0.005 | lr 2.77e-04 | gn 0.35
   base: loss 7.0085 | acc 0.006 | lr 2.77e-04 | gn 0.54
  large: loss 6.9636 | acc 0.008 | lr 2.77e-04 | gn 0.60
step     235 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0723 | acc 0.004 | lr 2.76e-04 | gn 0.30
   base: loss 6.9801 | acc 0.005 | lr 2.76e-04 | gn 0.48
  large: loss 6.9255 | acc 0.008 | lr 2.76e-04 | gn 0.58
step     240 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1203 | acc 0.005 | lr 2.74e-04 | gn 0.35
   base: loss 7.0078 | acc 0.008 | lr 2.74e-04 | gn 0.50
  large: loss 6.9584 | acc 0.006 | lr 2.74e-04 | gn 0.68
step     245 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0163 | acc 0.004 | lr 2.73e-04 | gn 0.32
   base: loss 6.9060 | acc 0.003 | lr 2.73e-04 | gn 0.66
  large: loss 6.8246 | acc 0.006 | lr 2.73e-04 | gn 1.05
step     250 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0352 | acc 0.006 | lr 2.72e-04 | gn 0.34
   base: loss 6.8946 | acc 0.006 | lr 2.72e-04 | gn 0.50
  large: loss 6.7782 | acc 0.007 | lr 2.72e-04 | gn 0.65
step     255 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0731 | acc 0.004 | lr 2.70e-04 | gn 0.33
   base: loss 6.9414 | acc 0.006 | lr 2.70e-04 | gn 0.50
  large: loss 6.8411 | acc 0.011 | lr 2.70e-04 | gn 0.71
step     260 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1239 | acc 0.006 | lr 2.69e-04 | gn 0.35
   base: loss 6.9973 | acc 0.006 | lr 2.69e-04 | gn 0.52
  large: loss 6.8957 | acc 0.010 | lr 2.69e-04 | gn 0.64
step     265 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0155 | acc 0.006 | lr 2.67e-04 | gn 0.32
   base: loss 6.8524 | acc 0.007 | lr 2.67e-04 | gn 0.52
  large: loss 6.6431 | acc 0.017 | lr 2.67e-04 | gn 0.67
step     270 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0481 | acc 0.005 | lr 2.66e-04 | gn 0.32
   base: loss 6.9028 | acc 0.007 | lr 2.66e-04 | gn 0.52
  large: loss 6.6397 | acc 0.022 | lr 2.66e-04 | gn 0.81
step     275 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0481 | acc 0.005 | lr 2.64e-04 | gn 0.34
   base: loss 6.9010 | acc 0.004 | lr 2.64e-04 | gn 0.55
  large: loss 6.5779 | acc 0.030 | lr 2.64e-04 | gn 1.20
step     280 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0455 | acc 0.005 | lr 2.63e-04 | gn 0.34
   base: loss 6.8326 | acc 0.008 | lr 2.63e-04 | gn 0.49
  large: loss 6.3335 | acc 0.044 | lr 2.63e-04 | gn 0.87
step     285 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0431 | acc 0.007 | lr 2.61e-04 | gn 0.32
   base: loss 6.8583 | acc 0.007 | lr 2.61e-04 | gn 0.54
  large: loss 6.2670 | acc 0.041 | lr 2.61e-04 | gn 0.87
step     290 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0163 | acc 0.006 | lr 2.60e-04 | gn 0.34
   base: loss 6.8057 | acc 0.008 | lr 2.60e-04 | gn 0.86
  large: loss 6.1240 | acc 0.053 | lr 2.60e-04 | gn 0.98
step     295 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0859 | acc 0.006 | lr 2.58e-04 | gn 0.34
   base: loss 6.8927 | acc 0.007 | lr 2.58e-04 | gn 0.75
  large: loss 6.2775 | acc 0.033 | lr 2.58e-04 | gn 0.74
step     300 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9800 | acc 0.004 | lr 2.56e-04 | gn 0.38
   base: loss 6.7577 | acc 0.005 | lr 2.56e-04 | gn 0.80
  large: loss 6.0593 | acc 0.042 | lr 2.56e-04 | gn 0.71
step     305 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0653 | acc 0.005 | lr 2.55e-04 | gn 0.36
   base: loss 6.8675 | acc 0.006 | lr 2.55e-04 | gn 0.51
  large: loss 6.1493 | acc 0.041 | lr 2.55e-04 | gn 0.60
step     310 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9944 | acc 0.006 | lr 2.53e-04 | gn 0.40
   base: loss 6.7317 | acc 0.004 | lr 2.53e-04 | gn 0.52
  large: loss 5.8764 | acc 0.046 | lr 2.53e-04 | gn 0.65
step     315 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0055 | acc 0.006 | lr 2.51e-04 | gn 0.34
   base: loss 6.7846 | acc 0.005 | lr 2.51e-04 | gn 0.87
  large: loss 5.9739 | acc 0.050 | lr 2.51e-04 | gn 0.58
step     320 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0482 | acc 0.007 | lr 2.50e-04 | gn 0.43
   base: loss 6.8529 | acc 0.007 | lr 2.50e-04 | gn 0.57
  large: loss 6.2849 | acc 0.031 | lr 2.50e-04 | gn 0.69
step     325 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8699 | acc 0.008 | lr 2.48e-04 | gn 0.56
   base: loss 6.6263 | acc 0.014 | lr 2.48e-04 | gn 0.80
  large: loss 5.8386 | acc 0.050 | lr 2.48e-04 | gn 0.71
step     330 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9253 | acc 0.006 | lr 2.46e-04 | gn 0.55
   base: loss 6.6960 | acc 0.009 | lr 2.46e-04 | gn 0.58
  large: loss 5.7584 | acc 0.053 | lr 2.46e-04 | gn 0.71
step     335 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9072 | acc 0.009 | lr 2.44e-04 | gn 0.53
   base: loss 6.6926 | acc 0.009 | lr 2.44e-04 | gn 0.50
  large: loss 5.7770 | acc 0.048 | lr 2.44e-04 | gn 0.70
step     340 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9266 | acc 0.007 | lr 2.43e-04 | gn 0.77
   base: loss 6.7277 | acc 0.008 | lr 2.43e-04 | gn 0.57
  large: loss 6.0548 | acc 0.040 | lr 2.43e-04 | gn 0.72
step     345 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9775 | acc 0.008 | lr 2.41e-04 | gn 0.52
   base: loss 6.8085 | acc 0.008 | lr 2.41e-04 | gn 0.56
  large: loss 6.0970 | acc 0.038 | lr 2.41e-04 | gn 0.65
step     350 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9313 | acc 0.007 | lr 2.39e-04 | gn 0.49
   base: loss 6.7694 | acc 0.007 | lr 2.39e-04 | gn 0.80
  large: loss 6.0723 | acc 0.036 | lr 2.39e-04 | gn 0.67
step     355 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9126 | acc 0.008 | lr 2.37e-04 | gn 0.54
   base: loss 6.7658 | acc 0.009 | lr 2.37e-04 | gn 0.76
  large: loss 6.0357 | acc 0.038 | lr 2.37e-04 | gn 0.80
step     360 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8165 | acc 0.007 | lr 2.35e-04 | gn 0.93
   base: loss 6.6471 | acc 0.008 | lr 2.35e-04 | gn 0.69
  large: loss 5.8609 | acc 0.038 | lr 2.35e-04 | gn 0.87
step     365 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8142 | acc 0.008 | lr 2.33e-04 | gn 0.41
   base: loss 6.6460 | acc 0.007 | lr 2.33e-04 | gn 0.76
  large: loss 5.7624 | acc 0.042 | lr 2.33e-04 | gn 0.73
step     370 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.7193 | acc 0.008 | lr 2.31e-04 | gn 0.55
   base: loss 6.4832 | acc 0.008 | lr 2.31e-04 | gn 1.15
  large: loss 5.3304 | acc 0.060 | lr 2.31e-04 | gn 0.82
step     375 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8395 | acc 0.005 | lr 2.29e-04 | gn 0.50
   base: loss 6.6639 | acc 0.008 | lr 2.29e-04 | gn 0.59
  large: loss 5.8367 | acc 0.042 | lr 2.29e-04 | gn 0.84
step     380 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9334 | acc 0.008 | lr 2.27e-04 | gn 0.56
   base: loss 6.7678 | acc 0.010 | lr 2.27e-04 | gn 0.62
  large: loss 6.1101 | acc 0.031 | lr 2.27e-04 | gn 0.88
step     385 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.7885 | acc 0.010 | lr 2.25e-04 | gn 0.50
   base: loss 6.5576 | acc 0.014 | lr 2.25e-04 | gn 0.82
  large: loss 5.5890 | acc 0.052 | lr 2.25e-04 | gn 0.79
step     390 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.9302 | acc 0.008 | lr 2.23e-04 | gn 0.38
   base: loss 6.7438 | acc 0.015 | lr 2.23e-04 | gn 0.95
  large: loss 5.8750 | acc 0.043 | lr 2.23e-04 | gn 0.79
step     395 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8250 | acc 0.013 | lr 2.21e-04 | gn 0.44
   base: loss 6.6185 | acc 0.017 | lr 2.21e-04 | gn 0.87
  large: loss 5.7590 | acc 0.042 | lr 2.21e-04 | gn 0.86
step     400 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8341 | acc 0.012 | lr 2.19e-04 | gn 0.69
   base: loss 6.6206 | acc 0.023 | lr 2.19e-04 | gn 0.77
  large: loss 5.9100 | acc 0.039 | lr 2.19e-04 | gn 0.88
step     405 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.8477 | acc 0.016 | lr 2.17e-04 | gn 0.52
   base: loss 6.5948 | acc 0.021 | lr 2.17e-04 | gn 0.69
  large: loss 5.8266 | acc 0.036 | lr 2.17e-04 | gn 0.89
step     410 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.7371 | acc 0.025 | lr 2.15e-04 | gn 0.66
   base: loss 6.3856 | acc 0.038 | lr 2.15e-04 | gn 0.80
  large: loss 5.6971 | acc 0.048 | lr 2.15e-04 | gn 0.96
step     415 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.6251 | acc 0.032 | lr 2.13e-04 | gn 0.94
   base: loss 6.1970 | acc 0.046 | lr 2.13e-04 | gn 0.76
  large: loss 5.6074 | acc 0.050 | lr 2.13e-04 | gn 0.90
step     420 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.7377 | acc 0.029 | lr 2.11e-04 | gn 0.79
   base: loss 6.4528 | acc 0.038 | lr 2.11e-04 | gn 0.67
  large: loss 5.8881 | acc 0.033 | lr 2.11e-04 | gn 0.98
step     425 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.5821 | acc 0.044 | lr 2.09e-04 | gn 0.68
   base: loss 6.1786 | acc 0.043 | lr 2.09e-04 | gn 0.89
  large: loss 5.6413 | acc 0.044 | lr 2.09e-04 | gn 0.84
step     430 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.3995 | acc 0.055 | lr 2.07e-04 | gn 0.77
   base: loss 5.9915 | acc 0.046 | lr 2.07e-04 | gn 0.82
  large: loss 5.4393 | acc 0.055 | lr 2.07e-04 | gn 0.94
step     435 | 55 g/s | 0.14s | active: small, base, large
  small: loss 6.4415 | acc 0.035 | lr 2.05e-04 | gn 0.77
   base: loss 6.0441 | acc 0.046 | lr 2.05e-04 | gn 0.94
  large: loss 5.5501 | acc 0.044 | lr 2.05e-04 | gn 0.88
step     440 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.4763 | acc 0.033 | lr 2.02e-04 | gn 0.80
   base: loss 6.1346 | acc 0.038 | lr 2.02e-04 | gn 0.76
  large: loss 5.6492 | acc 0.040 | lr 2.02e-04 | gn 0.95
step     445 | 57 g/s | 0.14s | active: small, base, large
  small: loss 6.3222 | acc 0.047 | lr 2.00e-04 | gn 0.80
   base: loss 5.9411 | acc 0.047 | lr 2.00e-04 | gn 0.68
  large: loss 5.5007 | acc 0.052 | lr 2.00e-04 | gn 0.93
step     450 | 56 g/s | 0.14s | active: small, base, large
  small: loss 6.3690 | acc 0.036 | lr 1.98e-04 | gn 0.88
   base: loss 6.0165 | acc 0.039 | lr 1.98e-04 | gn 0.79
  large: loss 5.5991 | acc 0.043 | lr 1.98e-04 | gn 0.89
step     455 | 56 g/s | 0.14s | active: small, base, large
